religiosityMeasure,sample,publicationstatus,effect,ma_method,mean,lb,ub,p,k,set,set_es,kc,full_set,rank,ci
Beliefs,College,unpublished,z,REML,-0.10954251968765782,-0.19036007058891652,-0.027250211623519763,0.009167727041141105,4,"6,11,14,15","6,11,14,15",4,0,84,0.16310985896539676
Beliefs,College,unpublished,z,RE_DL,-0.10954251968765782,-0.19036007058891652,-0.027250211623519763,0.009167727041141105,4,"6,11,14,15","6,11,14,15",4,0,85,0.16310985896539676
Beliefs,College,unpublished,z,FE,-0.10954251968765782,-0.19036007058891652,-0.027250211623519763,0.009167727041141105,4,"6,11,14,15","6,11,14,15",4,0,86,0.16310985896539676
Beliefs,Non-College,unpublished,r,FE,-0.10561504923523835,-0.12236531692810178,-0.08886478154237491,4.403756086813458e-35,5,"4,5,7,13,17","4,5,7,13,17",5,0,87,0.033500535385726865
Beliefs,Non-College,unpublished,z,FE,-0.10291149975030615,-0.11971008436052022,-0.08605400586883133,1.1806856307223577e-32,5,"4,5,7,13,17","4,5,7,13,17",5,0,88,0.03365607849168889
mixed,College,all_publicationstatus,r,RE_DL,-0.09374941446132457,-0.17305281368152195,-0.01444601524112718,0.02050407527417796,11,"1,2,3,8,9,10,31,49,54,79,91","1,2,3,8,9,10,31,49,54,79,91",11,0,89,0.15860679844039477
mixed,College,all_publicationstatus,r,REML,-0.09353921711584878,-0.17423542116855067,-0.01284301306314689,0.023092707603315662,11,"1,2,3,8,9,10,31,49,54,79,91","1,2,3,8,9,10,31,49,54,79,91",11,0,90,0.16139240810540378
mixed,College,all_publicationstatus,z,RE_DL,-0.09345693286075714,-0.17289456839497389,-0.012811320934879078,0.02318998919272976,11,"1,2,3,8,9,10,31,49,54,79,91","1,2,3,8,9,10,31,49,54,79,91",11,0,91,0.1600832474600948
mixed,College,all_publicationstatus,z,REML,-0.0934035063623204,-0.17325979889079457,-0.012327094405993956,0.024009342975909034,11,"1,2,3,8,9,10,31,49,54,79,91","1,2,3,8,9,10,31,49,54,79,91",11,0,92,0.16093270448480063
mixed,College,all_publicationstatus,z,unweighted,-0.09131518868053405,-0.14055278321972953,-0.0416270272215104,0.0003240175648965549,11,"1,2,3,8,9,10,31,49,54,79,91","1,2,3,8,9,10,31,49,54,79,91",11,0,93,0.09892575599821912
mixed,College,all_publicationstatus,r,unweighted,-0.08990909090909094,-0.1383527793033824,-0.04146540251479945,0.0002751943484964321,11,"1,2,3,8,9,10,31,49,54,79,91","1,2,3,8,9,10,31,49,54,79,91",11,0,94,0.09688737678858296
Beliefs,College,unpublished,z,unweighted,-0.08252967572750546,-0.1805037408238259,0.017066050580317866,0.10422136814359674,4,"6,11,14,15","6,11,14,15",4,0,95,0.19756979140414377
Beliefs,College,unpublished,r,unweighted,-0.08225000000000002,-0.18153131916498283,0.01703131916498281,0.10443133486507514,4,"6,11,14,15","6,11,14,15",4,0,96,0.19856263832996562
Behavior,College,published,z,unweighted,-0.05033756426883556,-0.16591680600986033,0.06660588288263658,0.39903360803042687,3,"30,36,64","30,36,64",3,0,97,0.23252268889249691
Behavior,College,published,r,unweighted,-0.049999999999999996,-0.1659095972806904,0.06590959728069043,0.3978479363778142,3,"30,36,64","30,36,64",3,0,98,0.23181919456138084
mixed,College,unpublished,r,FE,-0.04593401280217537,-0.1073886969354903,0.015520671331139553,0.14293024767654397,6,"1,2,3,8,9,10","1,2,3,8,9,10",6,0,99,0.12290936826662985
mixed,College,unpublished,z,FE,-0.04483575666830922,-0.10696817180348465,0.017645474331387637,0.15952497374849323,6,"1,2,3,8,9,10","1,2,3,8,9,10",6,0,100,0.12461364613487229
