"sex","method","age_group","sample","race","published_estimate","effect","ma_method","mean","lb","ub","p","k","set","set_es","kc","full_set","rank","ci"
"men","image","all_age_group","healthy","all_race","all_published_estimate","r","RE_DL",0.0123604866145067,-0.0303890829047824,0.0551100561337958,0.57091917249356,15,"2,4,6,7,10,11,12,14,15,18,21,25,26,28,30","2,4,6,7,10,11,12,14,15,18,21,25,26,28,30",15,0,326,0.0854991390385782
"men","image","adults","all_sample","all_race","all_published_estimate","r","REML",0.0124169621527582,-0.0419083486548475,0.0667422729603638,0.654165692684842,10,"2,4,5,6,10,11,15,18,25,26","2,4,5,6,10,11,15,18,25,26",10,0,327,0.108650621615211
"men","image","adults","all_sample","all_race","all_published_estimate","r","RE_DL",0.0124169621527582,-0.0419083486548475,0.0667422729603638,0.654165692684842,10,"2,4,5,6,10,11,15,18,25,26","2,4,5,6,10,11,15,18,25,26",10,0,328,0.108650621615211
"men","image","adults","all_sample","all_race","all_published_estimate","r","FE",0.0124169621527582,-0.0419083486548475,0.0667422729603638,0.654165692684842,10,"2,4,5,6,10,11,15,18,25,26","2,4,5,6,10,11,15,18,25,26",10,0,329,0.108650621615211
"men","image","adults","all_sample","all_race","all_published_estimate","z","RE_DL",0.0124240021319278,-0.0420150702487024,0.0667895227944375,0.654792394099475,10,"2,4,5,6,10,11,15,18,25,26","2,4,5,6,10,11,15,18,25,26",10,0,330,0.10880459304314
"men","image","adults","all_sample","all_race","all_published_estimate","z","FE",0.0124240021319278,-0.0420150702487024,0.0667895227944375,0.654792394099475,10,"2,4,5,6,10,11,15,18,25,26","2,4,5,6,10,11,15,18,25,26",10,0,331,0.10880459304314
"men","image","adults","all_sample","all_race","all_published_estimate","z","REML",0.0124240021319278,-0.0420150702487024,0.0667895227944375,0.654792394099475,10,"2,4,5,6,10,11,15,18,25,26","2,4,5,6,10,11,15,18,25,26",10,0,332,0.10880459304314
"all_sex","image","adults","all_sample","other","yes","z","RE_DL",0.0127269060087665,-0.0332909704777168,0.0586909347102096,0.587865013346161,6,"15,16,22,23,26,27","15,16,22,23,26,27",6,0,333,0.0919819051879265
"all_sex","image","adults","all_sample","other","yes","z","REML",0.0127269060087665,-0.0332909704777168,0.0586909347102096,0.587865013346161,6,"15,16,22,23,26,27","15,16,22,23,26,27",6,0,334,0.0919819051879265
"all_sex","image","adults","all_sample","other","yes","z","FE",0.0127269060087665,-0.0332909704777168,0.0586909347102096,0.587865013346161,6,"15,16,22,23,26,27","15,16,22,23,26,27",6,0,335,0.0919819051879265
"all_sex","all_method","all_age_group","healthy","white","all_published_estimate","z","RE_DL",0.0127298902329527,-0.0232322059368058,0.0486590847649198,0.487849601730873,22,"1,2,3,4,6,7,8,10,11,12,13,14,17,18,20,21,24,25,28,29,30,31","1,2,3,4,6,7,8,10,11,12,13,14,17,18,20,21,24,25,28,29,30,31",22,0,336,0.0718912907017256
"men","all_method","adults","healthy","all_race","yes","r","RE_DL",0.0127685414444578,-0.0355033449891269,0.0610404278780426,0.604154136563146,11,"1,6,9,10,11,15,17,18,20,25,26","1,6,9,10,11,15,17,18,20,25,26",11,0,337,0.0965437728671695
"men","image","adults","healthy","white","yes","r","unweighted",0.0128,-0.081239745347564,0.106839745347564,0.789641700330188,5,"6,10,11,18,25","6,10,11,18,25",5,0,338,0.188079490695128
"all_sex","image","adults","all_sample","other","yes","r","RE_DL",0.0128237506387194,-0.0331346892580977,0.0587821905355366,0.584456127102169,6,"15,16,22,23,26,27","15,16,22,23,26,27",6,0,339,0.0919168797936343
"all_sex","image","adults","all_sample","other","yes","r","FE",0.0128237506387194,-0.0331346892580977,0.0587821905355366,0.584456127102169,6,"15,16,22,23,26,27","15,16,22,23,26,27",6,0,340,0.0919168797936343
"all_sex","image","adults","all_sample","other","yes","r","REML",0.0128237506387194,-0.0331346892580977,0.0587821905355366,0.584456127102169,6,"15,16,22,23,26,27","15,16,22,23,26,27",6,0,341,0.0919168797936343
"all_sex","all_method","all_age_group","all_sample","white","all_published_estimate","z","RE_DL",0.0128250211851925,-0.0207064993420614,0.0463277218044563,0.453495936729353,24,"1,2,3,4,5,6,7,8,10,11,12,13,14,17,18,19,20,21,24,25,28,29,30,31","1,2,3,4,5,6,7,8,10,11,12,13,14,17,18,19,20,21,24,25,28,29,30,31",24,0,342,0.0670342211465177
"men","image","adults","healthy","white","yes","z","unweighted",0.0128305662598367,-0.0813983898868775,0.106832187020084,0.789947777494987,5,"6,10,11,18,25","6,10,11,18,25",5,0,343,0.188230576906962
"men","image","adults","healthy","all_race","all_published_estimate","r","RE_DL",0.0129155142036604,-0.042706906686696,0.0685379350940169,0.64903498379876,9,"2,4,6,10,11,15,18,25,26","2,4,6,10,11,15,18,25,26",9,0,344,0.111244841780713
"men","image","adults","healthy","all_race","all_published_estimate","r","FE",0.0129155142036604,-0.042706906686696,0.0685379350940169,0.64903498379876,9,"2,4,6,10,11,15,18,25,26","2,4,6,10,11,15,18,25,26",9,0,345,0.111244841780713
"men","image","adults","healthy","all_race","all_published_estimate","r","REML",0.0129155142036604,-0.042706906686696,0.0685379350940169,0.64903498379876,9,"2,4,6,10,11,15,18,25,26","2,4,6,10,11,15,18,25,26",9,0,346,0.111244841780713
"men","image","adults","healthy","all_race","all_published_estimate","z","FE",0.0129255234033028,-0.0428193517471997,0.0685901688679409,0.649640717155843,9,"2,4,6,10,11,15,18,25,26","2,4,6,10,11,15,18,25,26",9,0,347,0.111409520615141
"men","image","adults","healthy","all_race","all_published_estimate","z","RE_DL",0.0129255234033028,-0.0428193517471997,0.0685901688679409,0.649640717155843,9,"2,4,6,10,11,15,18,25,26","2,4,6,10,11,15,18,25,26",9,0,348,0.111409520615141
